eta,f,f',f''
3.49,1.81955305313155,0.911387111811684,0.109304590951866
3.5,1.82866692424967,0.912480157721203,0.108310163440927
3.51,1.83779172582688,0.913563259355612,0.107319847373705
3.52,1.84692735842044,0.914636457829349,0.106333689736103
3.53,1.85607372299873,0.91569979472671,0.105351736732626
3.54,1.865230720946,0.916753312094036,0.104374033781517
3.55,1.87439825406694,0.917797052431851,0.103400625510125
3.56,1.88357622459126,0.918831058686952,0.102431555750497
3.57,1.89276453517813,0.919855374244457,0.101466867535199
3.58,1.90196308892057,0.920870042919809,0.100506603093368
3.59,1.91117178934977,0.921875108950743,0.0995508038469861
3.6,1.92039054043928,0.922870616989213,0.0985995104073888
3.61,1.92961924660917,0.923856612093287,0.0976527625719973
3.62,1.9388578127301,0.924833139719007,0.0967105993212799
3.63,1.94810614412729,0.92580024571222,0.0957730588159405
3.64,1.95736414658441,0.926757976300379,0.0948401783943345
3.65,1.96663172634741,0.927706378084322,0.0939119945701108
3.66,1.97590879012825,0.928645498030023,0.0929885430300801
3.67,1.98519524510855,0.929575383460324,0.0920698586323083
3.68,1.99449099894315,0.930496082046647,0.0911559754044349
3.69,2.00379595976362,0.931407641800691,0.0902469265422148
3.7,2.01311003618163,0.932310111066113,0.0893427444082829
3.71,2.02243313729229,0.933203538510196,0.0884434605311413
3.72,2.03176517267739,0.934087973115507,0.0875491056043664
3.73,2.04110605240855,0.934963464171551,0.0866597094860364
3.74,2.05045568705027,0.935830061266411,0.0857753011983768
3.75,2.05981398766293,0.936687814278395,0.0848959089276235
3.76,2.06918086580571,0.937536773367671,0.0840215600241011
3.77,2.07855623353939,0.938376988967912,0.083152281002516
3.78,2.08794000342907,0.939208511777937,0.082288097542462
3.79,2.09733208854685,0.940031392753362,0.0814290344891371
3.8,2.10673240247438,0.940845683098253,0.0805751158542698
3.81,2.11614085930536,0.941651434256796,0.0797263648172532
3.82,2.12555737364793,0.942448697904969,0.0788828037264848
3.83,2.13498186062698,0.943237525942234,0.0780444541009105
3.84,2.1444142358864,0.944017970483243,0.0772113366317706
3.85,2.15385441559123,0.944790083849561,0.0763834711845457
3.86,2.16330231642973,0.945553918561406,0.0755608768011006
3.87,2.17275785561534,0.946309527329417,0.0747435717020242
3.88,2.18222095088863,0.947056963046437,0.0739315732891626
3.89,2.19169152051909,0.947796278779329,0.0731248981483438
3.9,2.20116948330688,0.948527527760812,0.0723235620522911
3.91,2.21065475858449,0.949250763381335,0.0715275799637233
3.92,2.2201472662183,0.949966039180972,0.0707369660386391
3.93,2.22964692661011,0.950673408841358,0.0699517336297828
3.94,2.23915366069852,0.951372926177656,0.0691718952902893
3.95,2.2486673899603,0.952064645130559,0.0683974627775058
3.96,2.25818803641161,0.952748619758334,0.0676284470569868
3.97,2.26771552260919,0.953424904228904,0.0668648583066609
3.98,2.27724977165148,0.954093552811971,0.0661067059211655
3.99,2.2867907071796,0.954754619871183,0.0653539985163475
